comuna,puntajepsu,calidaddevida,rindieron,matriculados
Las Condes,606,70.86,8640,40063
Vitacura,616,65.43,2680,20280
Providencia,595,71.40,2782,31493
La Reina,576,60.23,3430,22057
Lo Barnechea,606,63.44,4058,21.949
Ñuñoa,565,59.89,5670,38710
Santiago,516,58.55,8086,88675
Colina,497,39.18,3448,36142
Paine,485,33.55,1820,14505
Talagante,498,31.67,2370,21111
Huechuraba,525,42.74,2872,14380
Maipú,511,48.36,19434,103768
San Miguel,528,60.81,3168,25346
La Florida,513,48.34,12984,80665
Estación Central,504,48.17,3358,23609
Quilicura,503,46.18,6730,42104
Peñaflor,494,32.55,2568,17202
Cerrillos,493,45.32,2240,13762
Pudahuel,501,41.77,6900,34866
Macul,522,50.19,3314,16282
Recoleta,490,39.27,3592,32112
Padre Hurtado,484,40.99,1576,12880
Melipilla,475,36.51,3698,26807
Puente Alto,502,40.60,18148,110110
Lampa,482,44.70,2086,18102
Conchalí,491,40.54,3476,21186
La Cisterna,509,42.09,2914,28186
Independencia,508,42.66,1992,18734
El Bosque,487,38.43,4786,39532
Buin,485,35.81,2570,20472
San Bernardo,488,39.31,8512,61504
Peñalolén,522,46.16,8094,38456
La Granja,486,45.10,3380,20370
Quinta Normal,498,44.76,3170,26046
Cerro Navia,470,36.33,3188,17809
La Pintana,465,31.14,4570,38216
San Ramón,475,36.80,2414,15888
Lo Prado,492,42.03,2594,12355
Renca,479,39.57,3602,25502
Pedro Aguirre Cerda,491,34.24,2890,15915
Lo Espejo,470,39.09,2692,12317
San Joaquín,493,46.58,2704,11179
